Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Senegal,SEN,5.45637989,5.113090038,4.624969959,4.833280087,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Serbia,SRB,3.789020061,3.640269995,3.715090036,3.585390091,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Seychelles,SYC,..,4.421020031,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sierra Leone,SLE,..,3.060230017,4.635769844,6.989630222,7.702280045
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Singapore,SGP,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Slovak Republic,SVK,4.599540234,3.911710024,3.939130068,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Slovenia,SVN,4.909530163,4.801780224,4.783239841,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Solomon Islands,SLB,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Somalia,SOM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Africa,ZAF,5.956190109,5.942850113,6.113059998,6.158989906,6.505050182
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Sudan,SSD,1.465559959,1.543900013,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Spain,ESP,4.286570072,4.227640152,4.20773983,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sri Lanka,LKA,2.22874999,3.449199915,2.799249887,2.124209881,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Kitts and Nevis,KNA,2.643460035,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Lucia,LCA,3.867729902,5.208280087,..,3.331799984,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Martin (French part),MAF,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Vincent and the Grenadines,VCT,..,5.733399868,5.73195982,5.693779945,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sudan,SDN,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Suriname,SUR,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sweden,SWE,7.443900108,7.618619919,7.568830013,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Switzerland,CHE,5.100570202,5.104730129,5.130189896,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tajikistan,TJK,5.231389999,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tanzania,TZA,..,..,4.430510044,3.696439981,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Thailand,THA,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Timor-Leste,TLS,8.433259964,8.051939964,7.060490131,6.792950153,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Togo,TGO,5.10860014,4.955580235,4.989759922,5.369569778,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tonga,TON,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Trinidad and Tobago,TTO,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tunisia,TUN,6.596010208,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkey,TUR,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkmenistan,TKM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turks and Caicos Islands,TCA,3.157449961,..,..,2.914350033,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tuvalu,TUV,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uganda,UGA,2.340490103,2.155359983,2.272049904,2.130520105,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ukraine,UKR,..,5.00977993,5.412260056,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Arab Emirates,ARE,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Kingdom,GBR,5.556159973,5.426700115,5.442090034,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,..,..,..,..,..
