"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Early-demographic dividend","EAR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","60.0127792358398","60.1746215820313","60.746150970459","61.2707710266113","61.7873802185059","61.8583984375","62.353458404541","63.2220993041992","63.673698425293","64.2602310180664","64.7603073120117","65.221809387207","66.0450134277344","67.1306076049805","67.6824188232422","68.3278884887695","68.5722732543945","69.6697082519531","70.4637680053711","71.1001663208008","71.7110900878906","72.2621994018555","72.7905120849609","75.9544906616211","76.3849792480469","76.890266418457","77.12158203125","77.7983169555664","78.8193817138672","79.4590225219727","79.482177734375","79.5531616210938","79.9562072753906","81.1423263549805","81.7824401855469","82.0965576171875","81.9611587524414","82.4948196411133","82.8549728393555","83.3799133300781","83.983528137207","84.4452209472656","84.6783905029297","84.9629592895508","85.3153610229492","",
"East Asia & Pacific","EAS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","78.2023468017578","78.3306732177734","79.0681076049805","79.7833099365234","80.0830307006836","81.2048721313477","81.7502975463867","82.5353164672852","83.1856536865234","83.8027114868164","84.3940505981445","85.3372573852539","87.955207824707","88.3482894897461","88.0442733764648","89.0538101196289","89.3806915283203","89.6436386108398","90.0188369750977","90.3858108520508","90.7060317993164","93.6159820556641","93.8170776367188","94.0335464477539","94.2477798461914","94.4638137817383","94.6950912475586","94.908821105957","95.1638031005859","95.4110565185547","95.6749496459961","96.2348327636719","96.3862075805664","96.5442504882813","96.4998397827148","96.2758102416992","96.4297332763672","96.5032577514648","96.8126983642578","97.0019226074219","97.0746002197266","97.189453125","97.2609786987305","97.3468017578125","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.1649322509766","97.604118347168","97.7054595947266","97.7211685180664","97.7806777954102","97.8253021240234","97.8784408569336","97.9835433959961","97.9828414916992","98.0365219116211","98.0865478515625","98.1346817016602","98.1836776733398","98.2538681030273","98.2925491333008","98.3882217407227","98.4335708618164","98.6786193847656","98.7252578735352","98.7652587890625","98.7965469360352","98.8572463989258","99.0090408325195","98.9877014160156","99.0228729248047","99.0285415649414","99.1209869384766","99.284553527832","99.4002838134766","99.4553298950195","99.4731063842773","99.4913330078125","99.5051116943359","99.5526733398438","99.5464935302734","99.5661697387695","99.5810928344727","",
"Europe & Central Asia","ECS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3861999511719","97.4613800048828","97.5425033569336","97.6099624633789","97.6392517089844","97.6972885131836","97.7811737060547","97.8410110473633","97.9929428100586","98.0469589233398","98.1095504760742","98.1073684692383","98.2379608154297","98.2029724121094","98.3314514160156","98.3209533691406","98.4011764526367","98.5786437988281","98.6338882446289","98.6768798828125","98.7046203613281","98.7357482910156","98.7805404663086","98.7983474731445","98.8318862915039","98.8602600097656","",
"Ecuador","ECU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","86.7869720458984","","","","","","","","90.4967727661133","","","","","","","","","","","92.3271331787109","","","","","","93.3891983032227","93.7494506835938","93.6637802124023","93.3168716430664","93.0525207519531","93.2542419433594","94.4257278442383","95.2571716308594","95.7262191772461","95.4450225830078","93.7790603637695","","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","53.6151885986328","","","","","","","","","","56.9761581420898","","","","","","","","","","67.1517791748047","","","","","","","","","77.9101333618164","74.6218032836914","","","","80.2686462402344","","81.6792221069336","81.6940612792969","","","","76.4952163696289","","","",
"Euro area","EMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3901214599609","","","","","","75.0724105834961","","","","","","","","","","84.3732376098633","","",
"Spain","ESP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","95.8975296020508","","","","","","","","","","98.0354919433594","","","","","","","","","","","","","98.143913269043","98.6174697875977","98.5610275268555","98.6334609985352","98.4022979736328","98.4619369506836","98.5257110595703","98.5361862182617","98.6065292358398","98.7487487792969","98.7312698364258","98.7708892822266","98.8359680175781","","98.9253921508789","","",
"Estonia","EST","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8759765625","","","","","","","","","","","99.7759475708008","","","","","","","","","","","99.8589782714844","","","","","","","","","",
